product_id,product_name,category_id,brand,price,cost
P0076,Prestige Electric Kettle - Red,CAT04,Prestige,2049.54,1068.88
P0077,Philips Air Fryer - Green,CAT04,Philips,8960.44,5812.23
P0078,Borosil Glass Lunch Box - Silver,CAT04,Borosil,1231.65,676.87
P0079,Milton Thermosteel Flask - Navy,CAT04,Milton,1470.09,808.48
P0080,Wakefit Memory Foam Pillow - Black,CAT04,WAKEFIT,963.55,502.54
P0081,Lakme Face Wash - Blue,CAT05,Lakme,375.32,213.3
P0082,Maybelline Fit Me Foundation - White,CAT05, Maybelline ,674.07,377.51
P0083,Mamaearth Face Serum - Grey,CAT05,Mamaearth,634.31,294.04
P0084,The Derma Co Sunscreen - Red,CAT05,The Derma Co,481.88,
P0085,Nivea Body Lotion - Green,CAT05,Nivea,335.79,172.06
P0086,Decathlon Yoga Mat - Silver,CAT06,decathlon,1390.35,705.97
P0087, Yonex Badminton Racket - Navy ,CAT06,Yonex,2501.25,
P0088,Cosco Football - Black,CAT06,Cosco,1050.07,500.68
P0089,Strauss Gym Gloves - Blue,CAT06,Strauss,565.78,297.52
P0090, Milton Sports Bottle - White ,CAT06,Milton,694.48,358.58
P0091,Tata Salt 1kg - Grey,CAT07,Tata,29.1,18.37
P0092,Aashirvaad Atta 5kg - Red,CAT07,Aashirvaad,322.21,199.88
P0093,Fortune Sunflower Oil 1L - Green,CAT07,Fortune,143.61,102.98
P0094,Tata Tea Gold 1kg - Silver,CAT07,Tata,609.07,407.33
P0095,Kellogg's Corn Flakes 500g - Navy,CAT07,Kellogg's,238.67,163.98
P0096,Atomic Habits - Black,CAT08,Penguin,594.98,350.43
P0097,Ikigai - Blue,CAT08,Penguin,386.02,252.19
P0098, The Psychology of Money - White ,CAT08,Jaico,497.24,
P0099,Rich Dad Poor Dad - Grey,CAT08,PLATA,404.01,222.33
P0100,Deep Work - Red,CAT08,Hachette,538.87,
P0101,Portronics Power Bank 10000mAh - Green,CAT09,Portronics,1289.34,
P0102,Anker USB-C Cable - Silver,CAT09,Anker,950.52,479.98
P0103,Spigen iPhone Case - Navy,CAT09, Spigen ,1503.27,869.08
P0104,SanDisk 128GB Memory Card - Black,CAT09,SanDisk,1088.18,
P0105,TP-Link WiFi Router - Blue,CAT09,TP-Link,2466.13,1693.18
P0106,American Tourister Backpack - White,CAT10,American Tourister,2423.48,1499.43
P0107,Skybags Trolley Bag - Grey,CAT10, Skybags ,3992.01,2377.83
P0108, Wildcraft Travel Backpack - Red ,CAT10,Wildcraft,3219.72,1854.04
P0109,Fastrack Analog Watch - Green,CAT10,FASTRACK,2532.4,1488.0
P0110,Safari Cabin Trolley - Silver,CAT10, Safari ,3335.32,
P0111,Apple iPhone 15 - Classic,CAT01,Apple,75270.37,54513.09
P0112,Samsung Galaxy S24 - 128GB,CAT01,Samsung,65735.39,
P0113,Sony WH-1000XM5 - 256GB,CAT01,Sony,28147.86,20707.08
P0114,boAt Airdopes 141 - Large,CAT01,boat,1507.14,885.98
P0115,Logitech MX Master 3S - Medium,CAT01,LOGITECH,8577.77,6437.29
P0116,HP Pavilion 15 - Small,CAT01,HP,64047.72,51483.0
P0117,Lenovo IdeaPad Slim 3 - Pro,CAT01,lenovo,54010.34,
P0118,Dell Inspiron 14 - Plus,CAT01,Dell,56941.9,43424.58
P0119,OnePlus Nord CE 4 - Classic,CAT01,oneplus,26587.51,
P0120,JBL Flip 6 - 128GB,CAT01,JBL,12229.12,
P0121, Levi's Men's 511 Jeans - 256GB ,CAT02,Levi's,2977.66,1717.07
P0122,Allen Solly Men's Shirt - Large,CAT02,ALLEN SOLLY,2015.83,1104.77
P0123,Biba Women's Kurta - Medium,CAT02,Biba,2400.64,1333.73
P0124,W for Women Palazzo - Small,CAT02,W,1834.06,967.74
P0125,H&M Cotton T-Shirt - Pro,CAT02,H&M,1338.95,
P0126,Roadster Casual Jacket - Plus,CAT02,Roadster,2735.82,1545.34
P0127,Puma Running Shoes - Classic,CAT03,PUMA,4703.47,2885.48
P0128,Nike Air Max - 128GB,CAT03,Nike,9712.51,5933.38
P0129,Adidas Ultraboost - 256GB,CAT03,Adidas,12231.92,7917.74
P0130,Skechers Go Walk - Large,CAT03, Skechers ,6787.49,4523.56
P0131,Prestige Electric Kettle - Medium,CAT04,PRESTIGE,2016.98,1097.79
P0132,Philips Air Fryer - Small,CAT04, Philips ,8867.88,5561.79
P0133,Borosil Glass Lunch Box - Pro,CAT04, Borosil ,1370.53,717.1
P0134,Milton Thermosteel Flask - Plus,CAT04,Milton,1531.61,846.77
P0135,Wakefit Memory Foam Pillow - Classic,CAT04,Wakefit,1027.07,489.29
P0136,Lakme Face Wash - 128GB,CAT05,LAKME,419.97,204.94
P0137,Maybelline Fit Me Foundation - 256GB,CAT05,Maybelline,719.63,
P0138,Mamaearth Face Serum - Large,CAT05,Mamaearth,569.14,295.69
P0139, The Derma Co Sunscreen - Medium ,CAT05,The Derma Co,472.08,261.66
P0140,Nivea Body Lotion - Small,CAT05,Nivea,338.83,182.26
P0141,Decathlon Yoga Mat - Pro,CAT06,decathlon,1347.9,675.1
P0142,Yonex Badminton Racket - Plus,CAT06,Yonex,2561.81,1408.93
P0143,Cosco Football - Classic,CAT06,COSCO,1002.28,545.29
P0144,Strauss Gym Gloves - 128GB,CAT06, Strauss ,633.09,285.32
P0145,Milton Sports Bottle - 256GB,CAT06,Milton,694.48,
P0146,Tata Salt 1kg - Large,CAT07,Tata,26.05,18.59
P0147,Aashirvaad Atta 5kg - Medium,CAT07,Aashirvaad,306.64,204.0
P0148,Fortune Sunflower Oil 1L - Small,CAT07,fortune,150.97,105.65
P0149,Tata Tea Gold 1kg - Pro,CAT07,Tata,571.64,395.29
P0150,Kellogg's Corn Flakes 500g - Plus,CAT07,Kellogg's,234.38,172.59
P0151,Atomic Habits - Classic,CAT08,Penguin,638.29,361.97
P0152,Ikigai - 128GB,CAT08,Penguin,421.02,
P0153,The Psychology of Money - 256GB,CAT08,Jaico,475.15,286.59
P0154,Rich Dad Poor Dad - Large,CAT08,Plata,389.52,246.25
P0155,Deep Work - Medium,CAT08,Hachette,523.66,307.77
P0156,Portronics Power Bank 10000mAh - Small,CAT09,PORTRONICS,1276.74,675.65
P0157,Anker USB-C Cable - Pro,CAT09,ANKER,869.72,476.17
P0158,Spigen iPhone Case - Plus,CAT09,Spigen,1569.48,941.49
P0159,SanDisk 128GB Memory Card - Classic,CAT09,SANDISK,1089.06,659.41
P0160,TP-Link WiFi Router - 128GB,CAT09,TP-Link,2382.0,
P0161,American Tourister Backpack - 256GB,CAT10,American Tourister,2648.17,1532.86
P0162,Skybags Trolley Bag - Large,CAT10,skybags,4205.41,2509.85
P0163,Wildcraft Travel Backpack - Medium,CAT10,WILDCRAFT,2800.22,1799.68
P0164,Fastrack Analog Watch - Small,CAT10,Fastrack,2448.59,1524.96
P0165,Safari Cabin Trolley - Pro,CAT10,Safari,3675.12,
P0166,Apple iPhone 15 - Plus,CAT01,Apple,73611.82,52488.9
P0167, Samsung Galaxy S24 - Classic ,CAT01,Samsung,68125.85,46219.12
P0168,Sony WH-1000XM5 - 128GB,CAT01,Sony,31814.14,21382.14
P0169,boAt Airdopes 141 - 256GB,CAT01,BOAT,1444.08,
P0170,Logitech MX Master 3S - Large,CAT01,logitech,8986.41,
P0171,HP Pavilion 15 - Medium,CAT01,HP,71342.03,51751.16
P0172,Lenovo IdeaPad Slim 3 - Small,CAT01,LENOVO,49468.8,
P0173,Dell Inspiron 14 - Pro,CAT01, Dell ,57765.33,47489.37
P0174,OnePlus Nord CE 4 - Plus,CAT01,OnePlus,26874.76,
P0175,JBL Flip 6 - Classic,CAT01,JBL,12313.64,7508.51
P0176,Levi's Men's 511 Jeans - 128GB,CAT02,LEVI'S,3230.44,1707.39
P0177,Allen Solly Men's Shirt - 256GB,CAT02,Allen Solly,2140.7,1001.53
P0178,Biba Women's Kurta - Large,CAT02,Biba,2687.82,1249.86
P0179,W for Women Palazzo - Medium,CAT02,W,2040.25,952.42
P0180,H&M Cotton T-Shirt - Small,CAT02,H&M,1229.19,644.9
P0181,Roadster Casual Jacket - Pro,CAT02,Roadster,2908.95,1466.46
P0182,Puma Running Shoes - Plus,CAT03,Puma,5103.64,2903.98
P0183,Nike Air Max - Classic,CAT03,Nike,8885.07,5651.47
P0184,Adidas Ultraboost - 128GB,CAT03,Adidas,12585.74,
P0185,Skechers Go Walk - 256GB,CAT03,Skechers,6510.85,4519.6
P0186,Prestige Electric Kettle - Large,CAT04,Prestige,1919.45,
P0187,Philips Air Fryer - Medium,CAT04,Philips,9370.59,5918.76
P0188,Borosil Glass Lunch Box - Small,CAT04,Borosil,1279.04,663.88
P0189,Milton Thermosteel Flask - Pro,CAT04,milton,1543.42,783.7
P0190,Wakefit Memory Foam Pillow - Plus,CAT04,Wakefit,976.11,541.72
P0191,Lakme Face Wash - Classic,CAT05,Lakme,414.15,204.97
P0192, Maybelline Fit Me Foundation - 128GB ,CAT05,Maybelline,682.5,356.04
P0193, Mamaearth Face Serum - 256GB ,CAT05,Mamaearth,593.23,302.4
P0194, The Derma Co Sunscreen - Large ,CAT05,The Derma Co,473.6,257.52
P0195, Nivea Body Lotion - Medium ,CAT05,Nivea,373.8,183.83
P0196,Decathlon Yoga Mat - Small,CAT06,decathlon,1383.98,709.7
P0197,Yonex Badminton Racket - Pro,CAT06,Yonex,2436.88,1458.34
P0198,Cosco Football - Plus,CAT06,Cosco,929.13,506.7
P0199,Strauss Gym Gloves - Classic,CAT06,strauss,595.7,302.88
P0200, Milton Sports Bottle - 128GB ,CAT06, Milton ,718.72,358.49
