order_id,customer_id,order_date,order_status
ORD00080,C04311,2025-10-10,Completed
ORD00081,C01402,2025-05-05,Completed
ORD00082,C02745,2025-11-04,Returned
ORD00083,C00043,2025-10-23,Completed
ORD00084,C01528,2025-03-14,Completed
ORD00085,C02663,2025-10-05,Cancelled
ORD00086,C01159,2025-12-18,Completed
ORD00087,C04509,2025-06-22,Pending
ORD00088,C02248,2025-07-02,Completed
ORD00089,C00923,2025-04-19,Completed
ORD00090,C00937,2025-10-22,Completed
ORD00091,C00197,2025-04-20,Completed
ORD00092,C04255,2025-03-26,Pending
ORD00093,C01927,2025-08-08,Completed
ORD00094,C04446,2025-10-15,Completed
ORD00095,C04488,2025-12-30,Completed
ORD00096,C01602,2025-07-22,Completed
ORD00097,C01578,2025-03-16,Completed
ORD00098,C04358,2025-01-09,Completed
ORD00099,C02115,2025-12-22,Completed
ORD00100,C03369,2025-05-11,Completed
ORD00101,C02983,2025-09-23,Completed
ORD00102,C03386,2025-08-04,Completed
ORD00103,C04238,2025-08-09,Returned
ORD00104,C03929,2025-12-31,Completed
ORD00105,C00805,2025-07-21,Completed
ORD00106,C04024,2025-02-15,Completed
ORD00107,C00317,2025-07-24,Completed
ORD00108,C00866,2025-08-23,Completed
ORD00109,C02828,2025-03-28,Completed
ORD00110,C03624,2025-09-04,Completed
ORD00111,C00306,2025-03-04,Completed
ORD00112,C02936,2025-09-20,Completed
ORD00113,C00040,2025-09-20,Completed
ORD00114,C00909,2025-05-18,Completed
ORD00115,C00652,2025-07-09,Completed
ORD00116,C01461,2025-10-06,Completed
ORD00117,C02553,2025-12-31,Completed
ORD00118,C03107,2025-02-05,Completed
ORD00119,C03393,2025-10-03,Completed
ORD00120,C00969,2025-02-22,Completed
ORD00121,C03168,2025-01-16,Completed
ORD00122,C03073,2025-02-08,Completed
ORD00123,C04231,2025-11-08,Completed
ORD00124,C03275,2025-01-12,Completed
ORD00125,C02800,2025-06-23,Returned
ORD00126,C02209,2025-07-14,Completed
ORD00127,C02116,2025-03-31,Returned
ORD00128,C03263,2025-09-14,Completed
ORD00129,C03112,2025-09-17,Pending
ORD00130,C02093,2025-04-29,Completed
ORD00131,C03704,2025-02-15,Completed
ORD00132,C00224,2025-04-12,Completed
ORD00133,C02234,2025-11-20,Cancelled
ORD00134,C02579,2025-05-24,Completed
ORD00135,C04642,2025-07-01,Cancelled
ORD00136,C03361,2025-08-06,Completed
ORD00137,C00073,2025-04-29,Completed
ORD00138,C00707,2025-02-17,Completed
ORD00139,C03389,2025-11-26,Completed
ORD00140,C01247,2025-09-12,Pending
ORD00141,C01228,2025-04-23,Completed
ORD00142,C03084,2025-10-28,Completed
ORD00143,C02188,2025-12-18,Completed
ORD00144,C00811,2025-11-30,Returned
ORD00145,C03646,2025-04-17,Completed
ORD00146,C04345,2025-04-29,Completed
ORD00147,C03012,2025-12-03,Completed
ORD00148,C04759,2025-06-16,Cancelled
ORD00149,C03695,2025-01-11,Completed
ORD00150,C01587,2025-05-13,Completed
ORD00151,C04953,2025-10-21,Completed
ORD00152,C03330,2025-12-16,Completed
ORD00153,C00272,2025-10-06,Completed
ORD00154,C00571,2025-04-07,Completed
ORD00155,C02127,2025-01-10,Completed
ORD00156,C02254,2025-09-28,Completed
ORD00157,C02064,2025-10-15,Completed
ORD00158,C01547,2025-08-31,Completed
ORD00159,C00278,2025-01-08,Cancelled
ORD00160,C03441,2025-03-30,Completed
ORD00161,C04673,2025-06-19,Returned
ORD00162,C04722,2025-06-21,Returned
ORD00163,C01017,2025-06-06,Completed
ORD00164,C04866,2025-07-01,Completed
ORD00165,C02336,2025-11-10,Pending
ORD00166,C03172,2025-08-08,Completed
ORD00167,C02698,2025-05-31,Completed
ORD00168,C00693,2025-12-23,Completed
ORD00169,C02898,2025-08-11,Completed
ORD00170,C03889,2025-06-25,Completed
ORD00171,C04101,2025-01-04,Completed
ORD00172,C00920,2025-08-01,Pending
ORD00173,C00548,2025-11-28,Completed
ORD00174,C01677,2025-05-19,Completed
ORD00175,C03777,2025-10-24,Cancelled
ORD00176,C02332,2025-12-23,Pending
ORD00177,C02613,2025-10-27,Completed
ORD00178,C01919,2025-06-10,Cancelled
ORD00179,C00963,2025-07-29,Returned
ORD00180,C01744,2025-10-10,Completed
ORD00181,C01330,2025-08-05,Completed
ORD00182,C04214,2025-11-07,Completed
ORD00183,C00747,2025-12-18,Cancelled
ORD00184,C00379,2025-01-28,Completed
ORD00185,C03646,2025-01-07,Completed
ORD00186,C04557,2025-02-22,Completed
ORD00187,C02326,2025-11-22,Cancelled
ORD00188,C02768,2025-08-18,Completed
ORD00189,C00614,2025-05-03,Completed
ORD00190,C02217,2025-10-17,Completed
ORD00191,C04583,2025-05-25,Completed
ORD00192,C02363,2025-03-30,Completed
ORD00193,C02009,2025-06-10,Returned
ORD00194,C02873,2025-03-18,Completed
ORD00195,C01655,2025-11-24,Completed
ORD00196,C03960,2025-03-28,Cancelled
ORD00197,C04382,2025-08-30,Returned
ORD00198,C02943,2025-07-27,Cancelled
ORD00199,C04030,2025-10-21,Completed
ORD00200,C01022,2025-12-04,Completed
ORD00201,C00396,2025-03-12,Completed
ORD00202,C02669,2025-07-13,Completed
ORD00203,C03739,2025-12-31,Completed
ORD00204,C00786,2025-02-12,Completed
ORD00205,C04241,2025-10-14,Completed
ORD00206,C00531,2025-09-26,Completed
ORD00207,C00308,2025-12-12,Completed
ORD00208,C04871,2025-05-23,Completed
ORD00209,C00017,2025-09-07,Returned
ORD00210,C04726,2025-03-03,Completed
ORD00211,C03413,2025-03-03,Completed
ORD00212,C02464,2025-07-25,Completed
ORD00213,C02086,2025-07-15,Returned
ORD00214,C00670,2025-02-22,Completed
ORD00215,C04136,2025-05-04,Completed
ORD00216,C04724,2025-08-23,Completed
ORD00217,C02486,2025-03-30,Returned
ORD00218,C02474,2025-09-08,Completed
ORD00219,C04229,2025-10-07,Cancelled
ORD00220,C02757,2025-12-30,Completed
ORD00221,C01976,2025-09-12,Returned
ORD00222,C03956,2025-05-30,Returned
ORD00223,C04060,2025-08-23,Completed
ORD00224,C00463,2025-08-29,Completed
ORD00225,C04592,2025-03-03,Completed
ORD00226,C01205,2025-06-24,Completed
ORD00227,C01414,2025-06-21,Completed
ORD00228,C01285,2025-02-14,Pending
ORD00229,C04546,2025-01-16,Completed
ORD00230,C01339,2025-03-26,Completed
ORD00231,C03958,2025-10-20,Completed
ORD00232,C00495,2025-11-11,Completed
ORD00233,C03325,2025-07-30,Returned
ORD00234,C00160,2025-03-17,Completed
ORD00235,C03526,2025-07-04,Returned
ORD00236,C01666,2025-10-09,Completed
ORD00237,C04679,2025-11-28,Completed
ORD00238,C03764,2025-02-02,Completed
ORD00239,C02519,2025-07-26,Pending
ORD00240,C04339,2025-03-10,Completed
ORD00241,C00010,2025-01-08,Completed
ORD00242,C03870,2025-01-05,Pending
ORD00243,C04864,2025-01-11,Completed
ORD00244,C00383,2025-05-06,Completed
ORD00245,C04262,2025-02-01,Completed
ORD00246,C04196,2025-08-02,Returned
ORD00247,C03561,2025-10-24,Completed
ORD00248,C01346,2025-01-19,Completed
ORD00249,C00288,2025-10-20,Completed
ORD00250,C01922,2025-05-20,Completed
ORD00251,C02223,2025-11-01,Completed
ORD00252,C03566,2025-09-09,Returned
ORD00253,C02495,2025-10-04,Completed
ORD00254,C03354,2025-12-17,Completed
ORD00255,C03358,2025-06-27,Completed
ORD00256,C03890,2025-05-27,Cancelled
ORD00257,C02204,2025-06-24,Completed
ORD00258,C02595,2025-08-15,Completed
ORD00259,C03499,2025-08-30,Completed
ORD00260,C02953,2025-12-13,Completed
ORD00261,C00736,2025-11-03,Completed
ORD00262,C01313,2025-09-15,Completed
ORD00263,C03660,2025-10-28,Completed
ORD00264,C04083,2025-09-02,Completed
ORD00265,C02868,2025-01-02,Completed
ORD00266,C01588,2025-06-07,Completed
ORD00267,C01085,2025-03-18,Completed
ORD00268,C01523,2025-08-12,Completed
ORD00269,C03254,2025-11-10,Completed
ORD00270,C00478,2025-04-21,Completed
ORD00271,C03187,2025-12-06,Completed
ORD00272,C02829,2025-03-29,Completed
ORD00273,C03632,2025-04-25,Completed
ORD00274,C00083,2025-11-10,Returned
ORD00275,C00271,2025-08-25,Pending
ORD00276,C02113,2025-01-21,Returned
ORD00277,C03122,2025-04-27,Completed
ORD00278,C00709,2025-08-10,Completed
ORD00279,C02809,2025-03-17,Cancelled
ORD00280,C01217,2025-05-20,Completed
ORD00281,C03275,2025-09-03,Completed
ORD00282,C01001,2025-03-06,Completed
ORD00283,C04571,2025-04-13,Completed
ORD00284,C04709,2025-10-31,Completed
ORD00285,C00507,2025-07-03,Completed
ORD00286,C03273,2025-07-28,Completed
ORD00287,C01712,2025-04-10,Completed
ORD00288,C04036,2025-08-11,Completed
ORD00289,C01779,2025-05-13,Completed
ORD00290,C01225,2025-09-30,Completed
ORD00291,C03279,2025-03-23,Pending
ORD00292,C04257,2025-04-29,Completed
ORD00293,C01146,2025-04-23,Completed
ORD00294,C01448,2025-04-06,Completed
ORD00295,C04750,2025-04-17,Completed
ORD00296,C00290,2025-04-30,Completed
ORD00297,C03863,2025-12-24,Returned
ORD00298,C00436,2025-01-04,Completed
ORD00299,C04785,2025-06-09,Completed
ORD00300,C01701,2025-05-09,Completed
ORD00301,C01675,2025-08-17,Completed
ORD00302,C02189,2025-04-12,Completed
ORD00303,C01911,2025-04-11,Cancelled
ORD00304,C01015,2025-11-20,Completed
ORD00305,C04403,2025-09-21,Completed
ORD00306,C04370,2025-05-24,Completed
ORD00307,C03266,2025-11-21,Pending
ORD00308,C00676,2025-03-07,Completed
ORD00309,C03989,2025-10-08,Completed
ORD00310,C00104,2025-05-18,Completed
ORD00311,C01796,2025-08-14,Completed
ORD00312,C04854,2025-09-26,Returned
ORD00313,C03045,2025-12-18,Cancelled
ORD00314,C00932,2025-09-02,Completed
ORD00315,C04681,2025-12-04,Completed
ORD00316,C04427,2025-01-09,Cancelled
ORD00317,C03164,2025-06-01,Completed
ORD00318,C02921,2025-06-07,Completed
ORD00319,C01181,2025-02-19,Completed
ORD00320,C04010,2025-12-07,Returned
ORD00321,C04419,2025-04-24,Completed
ORD00322,C01289,2025-08-11,Completed
ORD00323,C00247,2025-06-15,Completed
ORD00324,C01192,2025-11-19,Completed
ORD00325,C01624,2025-11-28,Completed
ORD00326,C03512,2025-09-25,Completed
ORD00327,C02971,2025-11-12,Completed
ORD00328,C02156,2025-03-09,Completed
ORD00329,C04556,2025-04-20,Completed
ORD00330,C04688,2025-01-20,Completed
ORD00331,C04942,2025-08-22,Completed
ORD00332,C04975,2025-08-28,Cancelled
ORD00333,C04243,2025-04-22,Cancelled
ORD00334,C01731,2025-02-11,Cancelled
ORD00335,C03050,2025-01-12,Completed
ORD00336,C01352,2025-02-18,Completed
ORD00337,C04177,2025-07-11,Pending
ORD00338,C04765,2025-12-12,Completed
ORD00339,C02830,2025-07-05,Pending
ORD00340,C00662,2025-12-15,Cancelled
ORD00341,C00245,2025-03-07,Completed
ORD00342,C00096,2025-07-22,Completed
ORD00343,C03559,2025-11-29,Completed
ORD00344,C03317,2025-11-23,Cancelled
ORD00345,C00302,2025-07-26,Cancelled
ORD00346,C03750,2025-04-25,Completed
ORD00347,C04049,2025-08-02,Completed
ORD00348,C00767,2025-06-02,Completed
ORD00349,C04727,2025-12-14,Completed
ORD00350,C03511,2025-05-07,Completed
ORD00351,C04584,2025-10-26,Completed
ORD00352,C00730,2025-01-01,Completed
ORD00353,C04324,2025-06-21,Completed
ORD00354,C02543,2025-03-17,Completed
ORD00355,C03123,2025-03-28,Completed
ORD00356,C00846,2025-06-16,Completed
ORD00357,C04637,2025-07-25,Completed
ORD00358,C03619,2025-06-01,Completed
ORD00359,C04693,2025-12-13,Completed
ORD00360,C01867,2025-11-02,Completed
ORD00361,C02107,2025-11-11,Completed
ORD00362,C04887,2025-05-28,Completed
ORD00363,C01648,2025-10-12,Completed
ORD00364,C02850,2025-06-14,Pending
ORD00365,C02343,2025-08-01,Completed
ORD00366,C03568,2025-12-06,Cancelled
ORD00367,C03015,2025-04-12,Completed
ORD00368,C03850,2025-01-30,Completed
ORD00369,C04019,2025-04-22,Completed
ORD00370,C00439,2025-03-18,Returned
ORD00371,C00746,2025-01-09,Cancelled
ORD00372,C01200,2025-08-28,Completed
ORD00373,C03115,2025-12-10,Completed
ORD00374,C01815,2025-12-16,Pending
ORD00375,C01375,2025-06-29,Returned
ORD00376,C03200,2025-12-03,Completed
ORD00377,C01679,2025-12-27,Completed
ORD00378,C01393,2025-04-15,Completed
ORD00379,C04137,2025-08-20,Completed
ORD00380,C04623,2025-04-20,Completed
ORD00381,C00536,2025-08-07,Cancelled
ORD00382,C03207,2025-01-03,Completed
ORD00383,C04754,2025-03-05,Completed
ORD00384,C04942,2025-01-06,Completed
ORD00385,C04496,2025-09-23,Completed
ORD00386,C03247,2025-01-12,Pending
ORD00387,C03624,2025-04-17,Pending
ORD00388,C01264,2025-07-31,Completed
ORD00389,C02493,2025-08-18,Pending
ORD00390,C04569,2025-10-20,Completed
ORD00391,C01620,2025-12-07,Completed
ORD00392,C04212,2025-07-02,Completed
ORD00393,C02975,2025-11-19,Completed
ORD00394,C00749,2025-09-05,Completed
ORD00395,C00478,2025-11-12,Cancelled
ORD00396,C00191,2025-11-03,Completed
ORD00397,C04061,2025-02-19,Completed
ORD00398,C02398,2025-12-29,Cancelled
ORD00399,C02997,2025-11-23,Completed
ORD00400,C00881,2025-01-08,Completed
ORD00401,C02868,2025-09-09,Completed
ORD00402,C02228,2025-08-03,Completed
ORD00403,C04708,2025-06-03,Completed
ORD00404,C04045,2025-04-20,Cancelled
ORD00405,C01916,2025-10-04,Completed
ORD00406,C04499,2025-01-30,Pending
ORD00407,C02668,2025-03-08,Completed
ORD00408,C04691,2025-01-16,Cancelled
ORD00409,C02718,2025-07-19,Completed
ORD00410,C02825,2025-02-14,Completed
ORD00411,C01568,2025-08-15,Completed
ORD00412,C02482,2025-08-19,Completed
ORD00413,C00742,2025-10-31,Completed
ORD00414,C04422,2025-09-15,Completed
ORD00415,C03646,2025-05-21,Completed
ORD00416,C02163,2025-07-01,Completed
ORD00417,C04967,2025-07-26,Completed
ORD00418,C02613,2025-11-13,Completed
ORD00419,C04124,2025-01-21,Completed
ORD00420,C01293,2025-06-15,Completed
ORD00421,C01228,2025-05-03,Completed
ORD00422,C04191,2025-10-20,Cancelled
ORD00423,C04848,2025-12-11,Completed
ORD00424,C02298,2025-07-21,Completed
ORD00425,C01355,2025-05-16,Completed
ORD00426,C02443,2025-04-29,Completed
ORD00427,C02058,2025-09-28,Completed
ORD00428,C04874,2025-06-18,Completed
ORD00429,C00919,2025-04-06,Completed
ORD00430,C02914,2025-07-19,Completed
ORD00431,C01927,2025-09-16,Completed
ORD00432,C00521,2025-01-03,Completed
ORD00433,C04473,2025-01-24,Completed
ORD00434,C02705,2025-06-08,Completed
ORD00435,C02382,2025-07-15,Completed
ORD00436,C00006,2025-06-03,Completed
ORD00437,C00481,2025-04-19,Completed
ORD00438,C03297,2025-05-13,Completed
ORD00439,C02263,2025-08-24,Completed
ORD00440,C04775,2025-03-04,Cancelled
ORD00441,C00672,2025-08-07,Completed
ORD00442,C01526,2025-04-01,Completed
ORD00443,C02770,2025-01-23,Pending
ORD00444,C01948,2025-10-22,Cancelled
ORD00445,C03319,2025-12-24,Completed
ORD00446,C02877,2025-10-10,Completed
ORD00447,C04119,2025-12-31,Returned
ORD00448,C00575,2025-11-23,Completed
ORD00449,C00364,2025-01-22,Completed
ORD00450,C01005,2025-06-10,Completed
ORD00451,C04934,2025-04-24,Completed
ORD00452,C01776,2025-07-10,Completed
ORD00453,C04455,2025-08-01,Returned
ORD00454,C03286,2025-01-01,Completed
ORD00455,C01831,2025-09-21,Completed
ORD00456,C02586,2025-01-01,Pending
ORD00457,C00213,2025-03-27,Completed
ORD00458,C02775,2025-09-04,Completed
ORD00459,C04249,2025-01-06,Completed
ORD00460,C00256,2025-02-05,Completed
ORD00461,C02411,2025-07-01,Completed
ORD00462,C00776,2025-10-05,Completed
ORD00463,C03071,2025-10-14,Completed
ORD00464,C03153,2025-12-01,Completed
ORD00465,C04897,2025-06-01,Completed
ORD00466,C04655,2025-10-24,Completed
ORD00467,C01554,2025-07-25,Completed
ORD00468,C03062,2025-01-19,Completed
ORD00469,C02753,2025-03-03,Completed
ORD00470,C00778,2025-12-10,Returned
ORD00471,C04859,2025-04-24,Completed
ORD00472,C03374,2025-09-30,Completed
ORD00473,C00668,2025-09-14,Completed
ORD00474,C04035,2025-02-09,Completed
ORD00475,C00064,2025-10-02,Completed
ORD00476,C02550,2025-11-09,Completed
ORD00477,C04895,2025-04-15,Returned
ORD00478,C01335,2025-10-13,Returned
ORD00479,C02996,2025-01-09,Completed
ORD00480,C00831,2025-11-04,Completed
ORD00481,C00686,2025-03-20,Completed
ORD00482,C01803,2025-04-17,Completed
ORD00483,C00609,2025-04-10,Completed
ORD00484,C04723,2025-06-30,Completed
ORD00485,C01105,2025-01-22,Completed
ORD00486,C02173,2025-01-22,Cancelled
ORD00487,C00428,2025-04-20,Completed
ORD00488,C00599,2025-08-30,Completed
ORD00489,C02976,2025-09-25,Completed
ORD00490,C02858,2025-07-17,Completed
ORD00491,C03678,2025-05-11,Completed
ORD00492,C00057,2025-07-18,Completed
ORD00493,C00871,2025-02-04,Cancelled
ORD00494,C01486,2025-08-01,Returned
ORD00495,C01076,2025-01-17,Cancelled
ORD00496,C01881,2025-01-31,Completed
ORD00497,C04849,2025-07-09,Completed
ORD00498,C03518,2025-06-12,Completed
ORD00499,C00765,2025-03-28,Completed
ORD00500,C00966,2025-10-11,Completed
ORD00501,C00394,2025-11-26,Completed
ORD00502,C04441,2025-02-11,Completed
ORD00503,C01080,2025-12-09,Returned
ORD00504,C01885,2025-12-14,Completed
ORD00505,C04987,2025-04-24,Completed
ORD00506,C00486,2025-04-04,Completed
ORD00507,C02926,2025-10-26,Pending
ORD00508,C04162,2025-09-11,Completed
ORD00509,C01112,2025-01-31,Completed
ORD00510,C01235,2025-04-24,Completed
ORD00511,C02331,2025-12-06,Completed
ORD00512,C04916,2025-08-09,Completed
ORD00513,C04137,2025-12-25,Completed
ORD00514,C00864,2025-01-11,Completed
ORD00515,C03170,2025-11-21,Completed
ORD00516,C04676,2025-07-27,Completed
ORD00517,C00397,2025-05-28,Completed
ORD00518,C00253,2025-06-26,Completed
ORD00519,C00730,2025-02-03,Completed
ORD00520,C00402,2025-04-22,Completed
ORD00521,C00049,2025-09-23,Completed
ORD00522,C03318,2025-05-21,Pending
ORD00523,C00846,2025-12-19,Completed
ORD00524,C00110,2025-05-10,Completed
ORD00525,C03335,2025-01-22,Completed
ORD00526,C00618,2025-12-21,Completed
ORD00527,C04093,2025-02-22,Completed
ORD00528,C00313,2025-10-10,Completed
ORD00529,C02238,2025-08-06,Completed
ORD00530,C02668,2025-05-15,Completed
ORD00531,C04637,2025-06-30,Completed
ORD00532,C03310,2025-01-06,Completed
ORD00533,C02724,2025-09-14,Completed
ORD00534,C03392,2025-03-09,Cancelled
ORD00535,C03742,2025-05-15,Completed
ORD00536,C03264,2025-08-10,Completed
ORD00537,C04568,2025-04-23,Cancelled
ORD00538,C04476,2025-06-28,Completed
ORD00539,C00333,2025-09-07,Completed
ORD00540,C01161,2025-11-08,Completed
ORD00541,C00641,2025-06-06,Completed
ORD00542,C00132,2025-05-29,Completed
ORD00543,C02942,2025-08-21,Cancelled
ORD00544,C03630,2025-08-09,Completed
ORD00545,C02591,2025-04-08,Cancelled
ORD00546,C04372,2025-05-28,Completed
ORD00547,C03328,2025-07-19,Completed
ORD00548,C00702,2025-11-04,Completed
ORD00549,C01600,2025-01-23,Completed
ORD00550,C03201,2025-05-27,Completed
ORD00551,C01139,2025-09-26,Completed
ORD00552,C03284,2025-03-05,Completed
ORD00553,C02405,2025-12-11,Returned
ORD00554,C03075,2025-09-23,Completed
ORD00555,C04772,2025-01-08,Completed
ORD00556,C03174,2025-03-08,Completed
ORD00557,C03654,2025-07-18,Completed
ORD00558,C00991,2025-07-19,Completed
ORD00559,C01124,2025-10-04,Completed
ORD00560,C03567,2025-01-05,Pending
ORD00561,C01554,2025-06-07,Completed
ORD00562,C04277,2025-03-07,Completed
ORD00563,C03277,2025-10-08,Completed
ORD00564,C03384,2025-09-05,Cancelled
ORD00565,C00377,2025-03-05,Completed
ORD00566,C03028,2025-07-13,Completed
ORD00567,C04077,2025-09-09,Cancelled
ORD00568,C02420,2025-01-23,Completed
ORD00569,C00516,2025-07-06,Completed
ORD00570,C01083,2025-04-16,Completed
ORD00571,C01209,2025-06-15,Completed
ORD00572,C02241,2025-04-02,Completed
ORD00573,C02787,2025-03-19,Completed
ORD00574,C03198,2025-01-18,Completed
ORD00575,C04269,2025-06-14,Returned
ORD00576,C04281,2025-11-14,Completed
ORD00577,C04917,2025-07-19,Completed
ORD00578,C03708,2025-04-03,Completed
ORD00579,C02966,2025-01-29,Completed
ORD00580,C01231,2025-01-05,Completed
ORD00581,C02949,2025-04-27,Completed
ORD00582,C01632,2025-02-14,Completed
ORD00583,C00976,2025-09-21,Completed
ORD00584,C03044,2025-07-31,Completed
ORD00585,C02699,2025-11-10,Completed
ORD00586,C01884,2025-05-28,Cancelled
ORD00587,C01224,2025-05-05,Completed
ORD00588,C01040,2025-12-31,Completed
ORD00589,C00055,2025-11-06,Completed
ORD00590,C01204,2025-10-24,Completed
ORD00591,C02115,2025-04-26,Returned
ORD00592,C00893,2025-05-22,Returned
ORD00593,C00616,2025-05-24,Completed
ORD00594,C04410,2025-09-06,Completed
ORD00595,C01823,2025-05-16,Cancelled
ORD00596,C01613,2025-12-15,Completed
ORD00597,C03815,2025-09-04,Completed
ORD00598,C04457,2025-03-19,Cancelled
ORD00599,C02489,2025-01-24,Pending
ORD00600,C01218,2025-02-19,Completed
ORD00601,C03499,2025-09-29,Completed
ORD00602,C01869,2025-02-17,Completed
ORD00603,C04032,2025-11-15,Completed
ORD00604,C04236,2025-02-11,Completed
ORD00605,C00894,2025-12-01,Completed
ORD00606,C00350,2025-12-15,Completed
ORD00607,C03137,2025-03-19,Completed
ORD00608,C01333,2025-07-29,Completed
ORD00609,C03795,2025-09-23,Pending
ORD00610,C03566,2025-04-22,Cancelled
ORD00611,C02724,2025-07-05,Completed
ORD00612,C03879,2025-08-20,Completed
ORD00613,C02842,2025-03-07,Completed
ORD00614,C01747,2025-12-26,Completed
ORD00615,C04115,2025-09-25,Completed
ORD00616,C01178,2025-04-11,Pending
ORD00617,C04047,2025-11-17,Completed
ORD00618,C02577,2025-06-09,Completed
ORD00619,C01522,2025-03-07,Completed
ORD00620,C02638,2025-04-14,Completed
ORD00621,C00957,2025-02-04,Completed
ORD00622,C04313,2025-12-14,Completed
ORD00623,C01529,2025-10-11,Completed
ORD00624,C02713,2025-01-24,Completed
ORD00625,C02063,2025-06-22,Completed
ORD00626,C01888,2025-10-11,Returned
ORD00627,C04320,2025-04-06,Completed
ORD00628,C03865,2025-03-23,Completed
ORD00629,C02147,2025-08-14,Completed
ORD00630,C03874,2025-08-11,Completed
ORD00631,C03104,2025-12-29,Completed
ORD00632,C04361,2025-03-07,Completed
ORD00633,C04473,2025-09-11,Completed
ORD00634,C02630,2025-12-28,Returned
ORD00635,C04101,2025-08-17,Completed
ORD00636,C01060,2025-01-29,Completed
ORD00637,C03872,2025-06-10,Completed
ORD00638,C00592,2025-12-17,Completed
ORD00639,C03196,2025-10-12,Completed
ORD00640,C04950,2025-04-08,Completed
ORD00641,C03043,2025-12-30,Completed
ORD00642,C03246,2025-03-07,Completed
ORD00643,C00283,2025-09-04,Completed
ORD00644,C00674,2025-05-12,Completed
ORD00645,C01802,2025-01-02,Completed
ORD00646,C00998,2025-01-08,Completed
ORD00647,C00669,2025-05-23,Completed
ORD00648,C02913,2025-03-14,Completed
ORD00649,C04895,2025-07-15,Completed
ORD00650,C02888,2025-12-29,Completed
ORD00651,C02555,2025-05-19,Completed
ORD00652,C01750,2025-02-05,Completed
ORD00653,C03923,2025-02-19,Completed
ORD00654,C02969,2025-04-27,Completed
ORD00655,C01991,2025-05-22,Completed
ORD00656,C03694,2025-03-26,Completed
ORD00657,C03541,2025-11-12,Completed
ORD00658,C00234,2025-02-17,Completed
ORD00659,C00375,2025-04-16,Completed
ORD00660,C02479,2025-04-26,Completed
